Path,Name,Ext,SizeMB,Modified,Hash,Suspicious
C:\Users\Admin\Desktop\Adobe Audition 1.5\.trashed-1679847764-Adobe Serial Keys.docx,.trashed-1679847764-Adobe Serial Keys.docx,.docx,0.02,2024-01-03 10:39,,NO
C:\Users\Admin\Desktop\Adobe Audition 1.5\Adobe Serial Keys.docx,Adobe Serial Keys.docx,.docx,0.02,2024-01-03 10:39,,NO
C:\Users\Admin\Desktop\Adobe Audition 1.5\setup.exe,setup.exe,.exe,37.74,2024-01-03 10:39,,NO
C:\Users\Admin\Desktop\FAJ\CHEBOCHIEF 1 (2).mp3,CHEBOCHIEF 1 (2).mp3,.mp3,0.22,2025-08-14 12:05,,NO
C:\Users\Admin\Desktop\FAJ\CHICHI.mp3,CHICHI.mp3,.mp3,0.12,2025-08-14 12:26,,NO
C:\Users\Admin\Desktop\FAJ\CHIRII.ses,CHIRII.ses,.ses,0.0,2025-08-14 12:05,,NO
C:\Users\Admin\Desktop\FAJ\SMILING  MACHINE.mp3,SMILING  MACHINE.mp3,.mp3,0.39,2025-08-14 12:22,,NO
C:\Users\Admin\Desktop\FAJ\SMILING  MACHINE.ses,SMILING  MACHINE.ses,.ses,0.0,2025-08-14 12:21,,NO
C:\Users\Admin\Desktop\IAN LANGAT\10.mp3,10.mp3,.mp3,12.87,2025-10-28 10:10,,NO
C:\Users\Admin\Desktop\IAN LANGAT\11.mp3,11.mp3,.mp3,14.4,2025-10-28 12:59,,NO
C:\Users\Admin\Desktop\IAN LANGAT\12.mp3,12.mp3,.mp3,7.96,2025-10-28 12:09,,NO
C:\Users\Admin\Desktop\IAN LANGAT\1pm.mp3,1pm.mp3,.mp3,1.51,2025-10-28 13:21,,NO
C:\Users\Admin\Desktop\IAN LANGAT\edward .mp3,edward .mp3,.mp3,0.79,2025-10-28 12:34,,NO
C:\Users\Admin\Desktop\IAN LANGAT\eggs .mp3,eggs .mp3,.mp3,0.4,2025-10-28 12:23,,NO
C:\Users\Admin\Desktop\IAN LANGAT\eggs 2.mp3,eggs 2.mp3,.mp3,0.79,2025-10-28 12:27,,NO
C:\Users\Admin\Desktop\MANVINNY DROPS\BEDROOM DROP.mp3,BEDROOM DROP.mp3,.mp3,0.72,2025-09-08 20:13,,NO
C:\Users\Admin\Desktop\MANVINNY DROPS\ONGEPCHEI NAET MAIN DROP.mp3,ONGEPCHEI NAET MAIN DROP.mp3,.mp3,0.32,2025-09-08 19:16,,NO
C:\Users\Admin\Desktop\MANVINNY DROPS\ONGEPCHEI NAT DROP FLAT.mp3,ONGEPCHEI NAT DROP FLAT.mp3,.mp3,0.1,2025-09-08 19:18,,NO
C:\Users\Admin\Desktop\MISA MIX\DJ GIDDY TBT 2PM.mp3,DJ GIDDY TBT 2PM.mp3,.mp3,3.82,2025-07-24 14:13,,NO
C:\Users\Admin\Desktop\MISA MIX\dj tday tbt 2.mp3,dj tday tbt 2.mp3,.mp3,56.82,2025-07-24 16:34,,NO
C:\Users\Admin\Desktop\MISA MIX\DR MURKOMEN RAW.mp3,DR MURKOMEN RAW.mp3,.mp3,2.36,2025-08-14 19:37,,NO
C:\Users\Admin\Desktop\MISA MIX\KAPLELIT.mp3,KAPLELIT.mp3,.mp3,2.6,2025-07-24 06:46,,NO
C:\Users\Admin\Desktop\MISA MIX\kikwai 22.mp3,kikwai 22.mp3,.mp3,9.63,2025-08-28 08:37,,NO
C:\Users\Admin\Desktop\MISA MIX\NEWS NAMES.mp3,NEWS NAMES.mp3,.mp3,0.67,2025-08-14 19:50,,NO
C:\Users\Admin\Desktop\password_strength_checker\password_checker.py,password_checker.py,.py,0.0,2025-10-23 14:52,,NO
C:\Users\Admin\Desktop\password_strength_checker\password_checker_visual.py,password_checker_visual.py,.py,0.0,2025-10-23 15:02,,NO
C:\Users\Admin\Desktop\password_strength_checker\repo_scanner.py,repo_scanner.py,.py,0.01,2025-10-24 13:20,,NO
C:\Users\Admin\Desktop\password_strength_checker\secret_scanner.py,secret_scanner.py,.py,0.01,2025-10-23 16:08,,NO
C:\Users\Admin\Desktop\PASTOR LEONARD CHEPKWONY\14TH AUGUST .mp3,14TH AUGUST .mp3,.mp3,49.91,2025-08-14 19:22,,NO
C:\Users\Admin\Desktop\RECORDINGS\ nomjn ngweny MAY 26 2025.mp3, nomjn ngweny MAY 26 2025.mp3,.mp3,652.28,2025-05-26 19:23,,NO
C:\Users\Admin\Desktop\RECORDINGS\ TAAITAB KONYON  FM 29TH MAY 2025 BY TONUI.mp3, TAAITAB KONYON  FM 29TH MAY 2025 BY TONUI.mp3,.mp3,350.21,2025-05-29 10:30,,NO
C:\Users\Admin\Desktop\RECORDINGS\ TAAITAB KONYON  FM 6TH AUG 2025 BY TONUI.mp3, TAAITAB KONYON  FM 6TH AUG 2025 BY TONUI.mp3,.mp3,106.35,2025-08-06 10:08,,NO
C:\Users\Admin\Desktop\RECORDINGS\ TAAITAB KONYON 28 APRIL 28 TH APRIL 2025 BY TONUI.mp3, TAAITAB KONYON 28 APRIL 28 TH APRIL 2025 BY TONUI.mp3,.mp3,17.33,2025-04-28 10:14,,NO
C:\Users\Admin\Desktop\RECORDINGS\ TENGECHA).mp3, TENGECHA).mp3,.mp3,0.03,2025-09-24 17:56,,NO
C:\Users\Admin\Desktop\RECORDINGS\2'7.mp3,2'7.mp3,.mp3,440.37,2025-08-20 15:52,,NO
C:\Users\Admin\Desktop\RECORDINGS\3 pm news.mp3,3 pm news.mp3,.mp3,8.57,2025-05-13 16:18,,NO
C:\Users\Admin\Desktop\RECORDINGS\7 am news bulletin.mp3,7 am news bulletin.mp3,.mp3,126.19,2025-04-12 07:18,,NO
C:\Users\Admin\Desktop\RECORDINGS\7PM.mp3,7PM.mp3,.mp3,4.58,2025-04-11 19:24,,NO
C:\Users\Admin\Desktop\RECORDINGS\9 am news taach fm.mp3,9 am news taach fm.mp3,.mp3,48.77,2025-09-25 14:20,,NO
C:\Users\Admin\Desktop\RECORDINGS\9 PM NEWS.mp3,9 PM NEWS.mp3,.mp3,4.48,2025-04-11 21:19,,NO
C:\Users\Admin\Desktop\RECORDINGS\ALL.mp3,ALL.mp3,.mp3,278.22,2025-08-11 21:43,,NO
C:\Users\Admin\Desktop\RECORDINGS\BANDAB TAAI RAINI BY REAL MEMO 11.9.2025.mp3,BANDAB TAAI RAINI BY REAL MEMO 11.9.2025.mp3,.mp3,278.03,2025-09-11 13:40,,NO
C:\Users\Admin\Desktop\RECORDINGS\BANDAB TAAI RAINI BY REAL MEMO 9.9.2025.mp3,BANDAB TAAI RAINI BY REAL MEMO 9.9.2025.mp3,.mp3,302.47,2025-09-09 12:43,,NO
C:\Users\Admin\Desktop\RECORDINGS\BANDAP TAAI RAAINI CHEBOCHIEF 6TH AUG 2025.mp3,BANDAP TAAI RAAINI CHEBOCHIEF 6TH AUG 2025.mp3,.mp3,211.14,2025-08-06 14:05,,NO
C:\Users\Admin\Desktop\RECORDINGS\bandap taai raani chebo chief.mp3,bandap taai raani chebo chief.mp3,.mp3,72.93,2025-08-12 13:59,,NO
C:\Users\Admin\Desktop\RECORDINGS\BANDAPTAA RANIB 8.9.2025 BY REAL MEMO.mp3,BANDAPTAA RANIB 8.9.2025 BY REAL MEMO.mp3,.mp3,310.7,2025-09-08 12:56,,NO
C:\Users\Admin\Desktop\RECORDINGS\BANDAPTAI PILOT AK OLE AK TETYO 11 JULY 2025.mp3,BANDAPTAI PILOT AK OLE AK TETYO 11 JULY 2025.mp3,.mp3,537.98,2025-07-11 13:39,,NO
C:\Users\Admin\Desktop\RECORDINGS\BANDAPTAI RANI 9;9 ;2025.mp3,BANDAPTAI RANI 9;9 ;2025.mp3,.mp3,19.88,2025-09-09 13:07,,NO
C:\Users\Admin\Desktop\RECORDINGS\BANDAPTAI RANI oleterer.mp3,BANDAPTAI RANI oleterer.mp3,.mp3,318.55,2025-08-01 14:05,,NO
C:\Users\Admin\Desktop\RECORDINGS\BANDAPTAI RANI PILOT GIDI 05JUN25.mp3,BANDAPTAI RANI PILOT GIDI 05JUN25.mp3,.mp3,551.23,2025-06-05 14:07,,NO
C:\Users\Admin\Desktop\RECORDINGS\BANDAPTAI RANI PILOT GIDI 13MAY25.mp3,BANDAPTAI RANI PILOT GIDI 13MAY25.mp3,.mp3,59.77,2025-05-13 13:57,,NO
C:\Users\Admin\Desktop\RECORDINGS\BANDAPTAI RANI PILOT GIDI 14MAY25.mp3,BANDAPTAI RANI PILOT GIDI 14MAY25.mp3,.mp3,144.81,2025-05-14 14:03,,NO
C:\Users\Admin\Desktop\RECORDINGS\BANDAPTAI RANI PILOT GIDI 15MAY25.mp3,BANDAPTAI RANI PILOT GIDI 15MAY25.mp3,.mp3,513.23,2025-05-15 14:05,,NO
C:\Users\Admin\Desktop\RECORDINGS\BANDAPTAI RANI PILOT GIDI 16MAY25.mp3,BANDAPTAI RANI PILOT GIDI 16MAY25.mp3,.mp3,546.47,2025-05-16 14:02,,NO
