Path,Name,Ext,SizeMB,Modified,Hash,Suspicious
C:\Windows\System32\AppVEntVirtualization.dll,AppVEntVirtualization.dll,.dll,1.56,2025-10-29 07:54,,NO
C:\Windows\System32\appvetwclientres.dll,appvetwclientres.dll,.dll,0.14,2025-06-22 13:25,,NO
C:\Windows\System32\appvetwsharedperformance.dll,appvetwsharedperformance.dll,.dll,0.22,2024-04-01 11:03,,NO
C:\Windows\System32\appvetwstreamingux.dll,appvetwstreamingux.dll,.dll,0.02,2025-06-22 13:25,,NO
C:\Windows\System32\AppVFileSystemMetadata.dll,AppVFileSystemMetadata.dll,.dll,0.26,2025-06-22 13:25,,NO
C:\Windows\System32\AppVIntegration.dll,AppVIntegration.dll,.dll,1.37,2025-06-22 13:25,,NO
C:\Windows\System32\AppVManifest.dll,AppVManifest.dll,.dll,0.86,2025-06-22 13:25,,NO
C:\Windows\System32\AppVNice.exe,AppVNice.exe,.exe,0.18,2025-06-22 13:25,,NO
C:\Windows\System32\AppVOrchestration.dll,AppVOrchestration.dll,.dll,0.7,2025-06-22 13:25,,NO
C:\Windows\System32\AppVPolicy.dll,AppVPolicy.dll,.dll,0.94,2025-06-22 13:25,,NO
C:\Windows\System32\AppVPublishing.dll,AppVPublishing.dll,.dll,0.56,2025-06-22 13:25,,NO
C:\Windows\System32\AppVReporting.dll,AppVReporting.dll,.dll,0.64,2025-06-22 13:25,,NO
C:\Windows\System32\AppVScripting.dll,AppVScripting.dll,.dll,0.35,2025-06-22 13:25,,NO
C:\Windows\System32\AppVSentinel.dll,AppVSentinel.dll,.dll,0.04,2025-10-15 07:50,,NO
C:\Windows\System32\AppVShNotify.exe,AppVShNotify.exe,.exe,0.22,2025-06-22 13:25,,NO
C:\Windows\System32\AppVStreamingUX.dll,AppVStreamingUX.dll,.dll,0.2,2025-06-22 13:25,,NO
C:\Windows\System32\AppVStreamMap.dll,AppVStreamMap.dll,.dll,0.23,2025-06-22 13:25,,NO
C:\Windows\System32\AppVTerminator.dll,AppVTerminator.dll,.dll,0.04,2025-10-15 07:50,,NO
C:\Windows\System32\AppxAllUserStore.dll,AppxAllUserStore.dll,.dll,0.43,2025-10-29 07:54,,NO
C:\Windows\System32\AppXApplicabilityBlob.dll,AppXApplicabilityBlob.dll,.dll,0.24,2025-10-29 07:54,,NO
C:\Windows\System32\AppxApplicabilityEngine.dll,AppxApplicabilityEngine.dll,.dll,0.27,2025-10-29 07:55,,NO
C:\Windows\System32\AppXDeploymentClient.dll,AppXDeploymentClient.dll,.dll,1.44,2025-10-29 07:54,,NO
C:\Windows\System32\AppXDeploymentExtensions.desktop.dll,AppXDeploymentExtensions.desktop.dll,.dll,2.68,2025-10-29 07:54,,NO
C:\Windows\System32\AppXDeploymentExtensions.onecore.dll,AppXDeploymentExtensions.onecore.dll,.dll,3.44,2025-10-29 07:54,,NO
C:\Windows\System32\AppXDeploymentServer.dll,AppXDeploymentServer.dll,.dll,5.89,2025-10-29 07:54,,NO
C:\Windows\System32\AppxPackaging.dll,AppxPackaging.dll,.dll,2.39,2025-10-29 07:55,,NO
C:\Windows\System32\AppxSip.dll,AppxSip.dll,.dll,0.4,2025-10-29 07:54,,NO
